treaty_code,public_good,common_good 
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-1,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-a,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-b,0,0
I-5-c,0,0
I-5-c,0,0
I-5-c,0,0
I-5-c,0,0
I-5-c,0,0
I-5-c,0,0
I-5-c,0,0
I-5-c,0,0
